Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,Projection,Datum,Entry Date,File Location,File Size
19259,Fichier du réseau routier (FRR) (Intercensitaires),2005 - 2014,Statistique Canada,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1984957862"">Access this resource</a> on Scholars Geoportal.</p>","<p>Le Fichier du réseau routier comprend des routes, des noms de routes et des tranches d’adresses. De façon générale, les tranches d’adresses sont fondées sur les logements et sont principalement disponibles pour les grands centres urbains du Canada.</p><p>Le Fichier du réseau routiers ne remplace pas le Fichier du réseau routier du recensement, qui est un produit semblable offert dans la série des produits géographiques et qui est utilisé en conjonction avec les produits et les services du recensement.</p>","<p>Statistique Canada. <em>Fichier du réseau routier (FRR) (Intercensitaires)</em> [digital resource: Vector]. Statistique Canada, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=1984957862.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1984957862"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Canada,Vector,,,,1984957862,,,,,
19291,Subdivision de recensement - Fichiers numériques des limites (SDR) (Intercensitaires),2008 - 2014,Statistique Canada,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2124096551"">Access this resource</a> on Scholars Geoportal.</p>","<p>Les Fichiers des limites des subdivisions de recensement comprennent les limites de l’ensemble subdivisions de recensement. Une subdivision de recensement est une région administrative qui forme une composante de la Classification géographique type. Subdivision de recensement est un terme générique qui désigne les municipalités, telles que définies par les lois provinciales et territoriales, ou les territoires considérés comme des équivalents municipaux à des fins statistiques, par exemple, les réserves indiennes, les établissements indiens et les territoires non organisés.</p>","<p>Statistique Canada. <em>Subdivision de recensement - Fichiers numériques des limites (SDR) (Intercensitaires)</em> [digital resource: Vector]. Statistique Canada, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=2124096551.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2124096551"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Boundaries,Canada,Vector,,,,2124096551,,,,,
19338,"Oak Ridges Moraine - Rare, Threatened &amp; Endangered (RTE) Species Occurrences Generalized",1998 - 2002,Ontario Ministry of Natural Resources,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2252350783 lrcdtovsdvdb001.cihs.ad.gov.on.ca"">Access this resource</a> on Scholars Geoportal.</p>","<p>The Oak Ridges Moraine Conservation Plan (“Plan”) is an ecologically-based plan established by the Ontario government to provide land use and resource management direction for the 190,000 hectares of land and water within the Moraine.</p><p>The dataset for generalized occurrences of rare, threatened and endangered (RTE) species contains 1km square blocks. Each block indicates with a general location an element (a unit of natural biological diversity) occurrence (an area of land and/or water in which an Element is, or was, present). Multiple blocks can be overlapping in cases where multiple Element Occurrences are found in the same general area. </p>","<p>Ontario Ministry of Natural Resources. <em>Oak Ridges Moraine - Rare, Threatened &amp; Endangered (RTE) Species Occurrences Generalized</em> [digital resource: Vector]. Ontario Ministry of Natural Resources, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=2252350783 lrcdtovsdvdb001.cihs.ad.gov.on.ca.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2252350783 lrcdtovsdvdb001.cihs.ad.gov.on.ca"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Physical Environment,Ontario,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/OGDE_ORM_RTE.png,,,,,,,,
19357,Oak Ridges Moraine - Subwatersheds (Points),2003,Ontario Ministry of Natural Resources,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1509172978 lrcdtovsdvdb001.cihs.ad.gov.on.ca"">Access this resource</a> on Scholars Geoportal.</p>","<p>The Oak Ridges Moraine Conservation Plan (“Plan”) is an ecologically-based plan established by the Ontario government to provide land use and resource management direction for the 190,000 hectares of land and water within the Moraine.</p><p>A watershed, also known as a catchment basin or area, includes all of the land that is drained by a watercourse and its tributaries. A sub-watershed is a sub-division of a larger watershed. </p><p>This dataset has been created by the Water Resources Information Project (WRIP) to support the implementation of the Oak Ridges Moraine Conservation Plan. The methodology involved identifying major confluence points of streams/rivers just below the moraine that would allow their watersheds to fully cover the moraine. </p>","<p>Ontario Ministry of Natural Resources. <em>Oak Ridges Moraine - Subwatersheds (Points)</em> [digital resource: Vector]. Ontario Ministry of Natural Resources, 2003. Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=1509172978 lrcdtovsdvdb001.cihs.ad.gov.on.ca.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1509172978 lrcdtovsdvdb001.cihs.ad.gov.on.ca"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Physical Environment,Ontario,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/OGDE_ORM_WTRSHSUBPT.png,,,,,,,,
19426,Oak Ridges Moraine - Subwatersheds (Polygons),2003,Ontario Ministry of Natural Resources,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2127998790 lrcdtovsdvdb001.cihs.ad.gov.on.ca"">Access this resource</a> on Scholars Geoportal.</p>","<p>The Oak Ridges Moraine Conservation Plan (“Plan”) is an ecologically-based plan established by the Ontario government to provide land use and resource management direction for the 190,000 hectares of land and water within the Moraine.</p><p>A watershed, also known as a catchment basin or area, includes all of the land that is drained by a watercourse and its tributaries. A sub-watershed is a sub-division of a larger watershed. </p><p>This dataset has been created by the Water Resources Information Project (WRIP) to support the implementation of the Oak Ridges Moraine Conservation Plan. The methodology involved identifying major confluence points of streams/rivers just below the moraine that would allow their watersheds to fully cover the moraine. </p>","<p>Ontario Ministry of Natural Resources. <em>Oak Ridges Moraine - Subwatersheds (Polygons)</em> [digital resource: Vector]. Ontario Ministry of Natural Resources, 2003. Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=2127998790 lrcdtovsdvdb001.cihs.ad.gov.on.ca.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2127998790 lrcdtovsdvdb001.cihs.ad.gov.on.ca"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Physical Environment,Ontario,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/OGDE_ORM_WTRSHSUB.png,,,,,,,,
19780,Roads Turn Restrictions Table,2015 - 2020,DMTI Spatial Inc.,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=901888444"">Access this resource</a> on Scholars Geoportal.</p>",<p>This table indicates identifies road segments on which it is prohibited to turn from one road to another (e.g. no left turns). It can be used for routing purposes when linked to DMTI’s roads layer. </p><p>Supporting documentation is available in the Data Dictionary and User Manual</p>,"<p>DMTI Spatial Inc. <em>Roads Turn Restrictions Table</em> [digital resource: Vector]. DMTI Spatial Inc., (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=901888444.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=901888444"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Canada,Vector,,,,901888444,,,,,
19917,Roads Surface Table,2015 - 2020,DMTI Spatial Inc.,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=4084639273"">Access this resource</a> on Scholars Geoportal.</p>",<p>This table indicates the road surface types for features in DMTI’s roads layer. </p><p>This table can be joined to DMTI’s roads layer via the unique street identifier. Supporting documentation is available in the Data Dictionary and User Manual</p>,"<p>DMTI Spatial Inc. <em>Roads Surface Table</em> [digital resource: Vector]. DMTI Spatial Inc., (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=4084639273.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=4084639273"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Canada,Vector,,,,4084639273,,,,,
19930,Roads Truck Restrictions Table,2015 - 2020,DMTI Spatial Inc.,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2560544472"">Access this resource</a> on Scholars Geoportal.</p>",<p>This table indicates truck restrictions and is used for routing purposes when linked to DMTI’s roads layer. Truck Restrictions identify streets designated as heavy truck routes as defined by municipalities. </p><p>Supporting documentation is available in the Data Dictionary and User Manual</p>,"<p>DMTI Spatial Inc. <em>Roads Truck Restrictions Table</em> [digital resource: Vector]. DMTI Spatial Inc., (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=2560544472.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2560544472"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Canada,Vector,,,,2560544472,,,,,
19970,Mississauga Pedestrian Trail Network,2016 - 2020,"Transportation and Works Department, City of Mississauga",Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2199889151"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of Mississauga digital mapping data contains very detailed topographic and planning information clipped to the City of Mississauga municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the pedestrian trail network in the City of Mississauga, Ontario, including their locations and ownership. </p>","<p>Transportation and Works Department, City of Mississauga. <em>Mississauga Pedestrian Trail Network</em> [digital resource: Vector]. Transportation and Works Department, City of Mississauga, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=2199889151.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2199889151"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Ontario,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/CityOfMississauga_2020_PedestrianTrail.png,,,2199889151,,,,,
19984,Roads CSD Table,2015 - 2020,DMTI Spatial Inc.,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1641141378"">Access this resource</a> on Scholars Geoportal.</p>",<p>This table contains the corresponding historical census subdivision (CSD) values from 1996 to 2011 for each side of the road segment in DMTI's roads layer</p><p>This table can be joined to DMTI’s roads layer via the unique street identifier. Supporting documentation is available in the Data Dictionary and User Manual</p>,"<p>DMTI Spatial Inc. <em>Roads CSD Table</em> [digital resource: Vector]. DMTI Spatial Inc., (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=1641141378.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1641141378"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Canada,Vector,,,,1641141378,,,,,
20013,Roads Routing Table,2015 - 2020,DMTI Spatial Inc.,Various geospatial formats available.,,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=288632944"">Access this resource</a> on Scholars Geoportal.</p>",<p>A look up table with routing information to be used in conjunction with DMTI’s roads layer.</p><p>This table can be joined to DMTI’s roads layer via the unique street identifier. Supporting documentation is available in the Data Dictionary and User Manual</p>,"<p>DMTI Spatial Inc. <em>Roads Routing Table</em> [digital resource: Vector]. DMTI Spatial Inc., (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=288632944.</p>",,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=288632944"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Canada,Vector,,,,288632944,,,,,
