Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,To Delete,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id
8340,Agro-MAPS Global,2005,"<p>United Nations. Food and Agriculture Organization (FAO)</p>
",,Public,"<p>Can be accessed via the <a href=""http://ref.data.fao.org/map?entryId=5accf340-f18f-11db-9a22-000d939bc5d8&tab=about"">FAO Data Portal</a></p>
","<p>This product contains statistics on crop production, area harvested and crop yields, aggregated by subnational administrative districts, for more than 130 countries, in seven geographic regions (Africa, Asia, Near East in Asia, Latin America and the Caribbean, North America and Oceania).The statistics are linked to unique identifier codes of the administrative districts in each country. This allows users to view readily, and subsequently analyse, the statistics for a single country or for an entire region as maps.</p>
","<p>Metadata is available through the <a href=""http://ref.data.fao.org/map?entryId=5accf340-f18f-11db-9a22-000d939bc5d8&tab=metadata"">FAO Data Portal</a>.</p>",<p>Food and Agriculture Organization of the United Nations. FAO GEONETWORK. Agro-MAPS Global Spatial Database of Agricultural Land-use Statistics Aggregated by Sub-national Administrative Districts (GeoLayer). (Latest update: 04 Jun 2015) Accessed (18 Dec 2017). URI: http://data.fao.org/ref/5accf340-f18f-11db-9a22-000d939bc5d8.html?version=1.0</p>,N/A,,Internet||Library,Boundaries||Physical Environment||Soils,World,Interactive Map,sites/default/files/geospatial/fao_32sample.PNG,Agro-MAPS viewer sample,Agro-MAPS viewer sample,
6152,Air Quality Data Sets: Pollutant and Smog Data and Forecasts,"Various, from 2000","<p>Ontario Ministry of the Environment and Climate Change</p>
","Comma separated values (.csv), Microsoft Excel (.xls)",Public,"<p>Air Quality of Ontario - <a href=""http://www.airqualityontario.com/science/data_sets.php"">Science Data Sets</a></p>
","<p>The Ontario Ministry of the Environment and Climate Change (MOE) has created the user-friendly website <a href=""http://www.airqualityontario.com/"">Air Quality Ontario</a> in order to provide Ontarians with current Air Quality Index (AQI) readings, historical ambient air pollution data, air quality forecasts, and current pollutant concentrations, as well as information on actions that can be taken when a smog alert is issued.</p>
<p>Reports and forecasts of air quality (based on the AQI) can be browsed by city on the website, but downloadable datasets are also available.  Users can download historical data in the form of hourly readings of various pollutants (Ground-level Ozone, Nitrous Oxides etc.). The datasets are provided by monitoring station location (e.g. ""Hamilton West"") in .csv format, which can be imported into Excel or ArcMap. Also available from the website are ""Smog Advisory Statistics"", which give gives the dates on which ""Smog Days"" were declared and the areas in which they applied. These datasets are provided in .xls format, which can be converted to .csv format in Excel to be imported to ArcMap.</p>
<p>Please note that there is no geospatial data directly included in these datasets. If users are interested in performing geospatial analysis in ArcMap, the locations of the monitoring stations or affected areas must be manually added by the user. The website does provide the Lat-Long coordinates of each monitoring station when you download the hourly pollutant data for that station.</p>
","<p>The ""About Air Quality"" section of the website is available at the following link: <a href=""http://www.airqualityontario.com/science/"">http://www.airqualityontario.com/science/</a>.  The <a href=""http://www.airqualityontario.com/press/faq.php"">""Frequently Asked Questions""</a> section of the website includes information about how the data are collected and how the  Air Quality Index is calculated.</p>
","<p><em>Historical Air Quality Pollutant Data</em> [computer file]. Ontario Ministry of the Environment and Climate Change (year of dataset).</p>
",N/A,,Internet,Physical Environment||Pollution,Hamilton||Ontario,Excel,,,,
8946,"Ambient Groundwater Geochemistry Data for Southwestern Ontario, 2007-2014",2015,"<p>Ontario Geological Survey</p>
","Google Earth Keyhole Markup Language (.kml), Microsoft Excel table (.xls)",Public,"<p>This dataset is available for download through the <a href=""http://www.geologyontario.mndm.gov.on.ca/mndmaccess/mndm_dir.asp?type=pub&id=MRD283-REV"">Geology Ontario website</a></p>","<p>The Ambient Groundwater Geochemistry Program seeks to characterize the natural geochemistry of groundwater across Ontario. This release contains the data from the first 4 years of sampling, which covers all of southwestern Ontario and encompasses over 40 000 km². The data include detailed inorganic chemistry for more than 900 water samples. Parameters tested include dissolved gases, major ions, trace elements and field measurement of temperature, pH, redox potential and electrical conductivity. Isotopes of water were also tested and will be released at a later date. The data release includes</br>
<ol>
<li>A single flat-file containing analytical data plus station data including well depth, type, deepest formation penetrated, etc.</li>
<li>A folder with precision and accuracy plots for all parameters</li>
<li>A folder with single-parameter maps for bedrock wells plotted over bedrock geology</li>
<li>A folder with single-parameter maps for overburden wells plotted over Quaternary geology</li>
<li>A support document with an explanation of the data and quality control methods and HTML links to all maps and plots.</li>
</ol>
<p>Survey and sampling conducted from April 1, 2007 to June 30, 2014.</p>
","<p>Included in download and available in PDF format on <a href=""http://www.geologyontario.mndm.gov.on.ca/mndmaccess/mndm_dir.asp?type=pub&id=MRD283-REV"">Geology Ontario website</a></p>
<h3>Call Number:</h3>
<p>Maps GB 1030.O5H36 2011</p>
","<p>Hamilton, S.M. 2015. Ambient groundwater geochemistry data for southern Ontario, 2007–2014; Ontario Geological Survey, Miscellaneous Release—Data 283–Revised.</p>
",N/A,,Internet||Library,Geology,Ontario,Excel||KML,sites/default/files/geospatial/AmbientGroundwaterSample.JPG,AmbientGroundwaterSample.JPG,Ambient Groundwater Geochemistry Sample Image,
6559,ASTER Global Digital Elevation Model (GDEM),2011 (version 2),"<p>Produced jointly by Japan's Ministry of Economy, Trade and Industry (METI) and the U.S. National Aeronautics and Space Administration (NASA).</p>
",1 degree x 1 degree tiles in GeoTIFF format,Public,"<p>The dataset is available at the following link: <a href=""https://asterweb.jpl.nasa.gov/gdem.asp"">https://asterweb.jpl.nasa.gov/gdem.asp</a>.</p>
","<p>The Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) Global Digital Elevation Model (GDEM) was developed jointly by the Ministry of Economy, Trade, and Industry (METI) of Japan and the United States National Aeronautics and Space Administration (NASA).</p>
<p>The ASTER GDEM was contributed by METI and NASA to the Global Earth Observation System of Systems (GEOSS) and is available at no charge to users via electronic download from the Earth Remote Sensing Data Analysis Center (ERSDAC) of Japan and NASA’s Land Processes Distributed Active Archive Center (LP DAAC).</p>
<p>The ASTER GDEM covers land surfaces between 83' N and 83' S and is comprised of 22,600 1'-by-1' tiles. Tiles that contain at least 0.01% land area are included. The ASTER GDEM is in GeoTIFF format with geographic lat/long coordinates and a 1 arcsecond (approximately 30m) grid. It is referenced to the WGS84/EGM96 geoid. Pre-production estimated (but not guaranteed) accuracies for this global product were 20m at 95% confidence for vertical data and 30m at 95% confidence for horizontal data.</p>
","<p>A detailed description, including data access links and a citation generator, are available on the <a href=""https://lpdaac.usgs.gov/node/1079"">Land Processes Distributed Active Archive Center (LPDAAC) website</a>.</p>
","<p>See the <a href=""https://lpdaac.usgs.gov/citing_our_data"">Citing our Data</a> page on the LP DAAC website for more information.</p>
<p>Format:</br>
[Producer], [Release Year], [Dataset]. [Version]. NASA EOSDIS Land Processes DAAC, USGS Earth Resources Observation and Science (EROS) Center, Sioux Falls, South Dakota (https://lpdaac.usgs.gov), accessed [MM DD, YYYY], at http:// dx.doi.org/[DOI].</p>
<ul><li>Producer: U.S./Japan ASTER Science Team</li>
<li>Release year: 2009</li>
<li>Dataset: ASTER Global Digital Elevation Model</li>
<li>Version: 2</li>
<li>DOI: 10.5067/ASTER/ASTGTM.002</li>
</ul>",N/A,,Internet,Physical Environment||Remote Sensing and Air Photos||Topography,World,Raster||geoTIFF,sites/default/files/geospatial/aster_dem.jpg,ASTER GDEM sample,ASTER GDEM sample,
6571,Atlas of the Biosphere,1998 - 2001,"<p>The Nelson Institute Center for Sustainability and the Global Environment, University of Wisconsin-Madison</p>
","Raster data format (GRID), or sample maps as downloadable images (.jpg)",Public,"<p>The Atlas of the Biosphere is available <a href=""https://nelson.wisc.edu/sage/data-and-models/atlas/maps.php"">online</a>.</p>
","<p>The Atlas of the Biosphere is an online resource which contains maps with geographically explicit data broken down into four general categories:</p>
<ul><li>Human Impacts
<ul><li>Humans and the environment from a socio-economic perspective</li>
<li>i.e. - Built-up Land, Infant Mortality Rate, Life Expectancy, Literacy Rate, Per Capita Oil Usage, Population (1995), Population Density (1999), Population Doubling Time, Population Growth Rate, and Population Under Age 15.</li>
</ul></li>
<li>Land Use
<ul><li>How humans are using the land</li>
<li>i.e. - Built-up Land, Croplands (1992), Irrigated Lands, Soil Organic Carbon, Soil pH, and Suitability for Agriculture.</li>
</ul></li>
<li>Ecosystems
<ul><li>The natural ecosystems of the world</li>
<li>i.e. - Annual Total Precipitation, Average Annual Relative Humidity and Temperature, Average Temperature, Evapotranspiration, Growing Degree Days, Net Primary Productivity, Potential Vegetation, and Soil Moisutre/Organic Carbon/pH.
</li>
</ul></li>
<li>Water Resources
<ul><li>Water in the biosphere</li>
<li>i.e. - Annual Runoff/Precipitation, Evapotranspiration, Irrigated Lands, Lakes and Wetlands, Snow Depth, and Soil Moisture.</li>
</ul></li>
</ul><p>You may download maps (at 1600x1200 pixel resolution) and/or data (as an ESRI ArcView grid). The Atlas also includes animated schematics that look at the various resource flows and pools that make up individual Earth systems.</p>
","<p>Additional information for each dataset and map can be found on the <a href = ""https://nelson.wisc.edu/sage/data-and-models/atlas/maps.php"">Atlas of the Biosphere website</a>.</p>","<p>A link to a full citation for each dataset is available on the download page for the data.</p>
",N/A,,Internet,Human Environment||Physical Environment||Water Resources,Canada||USA||World,Raster||JPG,sites/default/files/geospatial/sagelogo.PNG,,,
6179,BatchGeo,2017,"<p>BatchGeo LLC</p>
","Google Earth Keyhole Markup Language (.kml), Microsoft Excel (.xls)",Public,"<p><a href=""https://batchgeo.com/"">https://batchgeo.com/</a></p>
","<p>BatchGeo is an online tool for batch geocoding addresses. It accepts data in Excel format, having municipal street addresses or postal codes, and generates an x,y coordinate for each address. The output coordinates are available as a KML file for use with Google Maps or Google Earth.</p>
<p>BatchGeo can also produce a web map of geocoded addresses using Google Maps as a background. Additional features include filtering or clustering data, calculations (averages/sum), distance calculator from a given address and quick creation of KML file for use with Google Earth.</p>
<p>Bulk geocode is available for most countries.</p>

","<p>BatchGeo geocoding uses Google Geocoding API. A brief description is available at <a href=""https://batchgeo.com/features/terms/"">https://batchgeo.com/features/terms/</a>. For additional information, see the support page at <a href=""http://support.batchgeo.com/"">http://support.batchgeo.com</a>.</p>
","<p>BatchGeo LLC. <em>BatchGeo</em> [online software]. 2017</p>
",N/A,,Internet,Human Environment||Software,Canada||Hamilton||Ontario||USA||World,KML||Excel,sites/default/files/geospatial/BatchGeo.jpg,,,
8209,Canada Land Inventory (CLI) - Land Capability for Agriculture,2013,"<p>Agriculture and Agri-Food Canada</p>
","1:50,000 - File Geodatabase (FGDB) / 1:250,000 - Shapefile (.shp)",Public,"<p>The dataset is available in a variety of scales on the <a href=""http://open.canada.ca/data/en/dataset/0c113e2c-e20e-4b64-be6f-496b1be834ee"">Open Government website</a>.</p>
","<p>The agriculture map illustrates the varying potential of a specific area for agricultural production. Classes of land capability for agriculture are based on mineral soils grouped according to their potential and limitations for agricultural use. The classes indicate the degree of limitation imposed by the soil in its use for mechanized agriculture. The subclasses indicate the kinds of limitations that individually or in combination with others, are affecting agricultural land use. Characteristics of the soil as determined by soil surveys.</p>
<p>City Land Capability for Agriculture, Canada Land Inventory 1:50,000 was only produced for a selection of cities.</p>","<p>Data product specification is available through the <a href=""http://open.canada.ca/data/en/dataset/0c113e2c-e20e-4b64-be6f-496b1be834ee"">Open Government portal</a>.</p>
","<p>Canada Land Inventory (CLI) [scale] - Land Capability for Agriculture [computer file]. (2013). Ottawa, ON: Agriculture and Agri-Food Canada.</p>
",N/A,,Internet,Physical Environment,Canada||Hamilton||Ontario,Vector||E00||Shapefile,sites/default/files/geospatial/hamcityagri1.PNG,Sample of Land Capability for Agriculture,Sample of Land Capability for Agriculture,
5770,"Canadian Digital Elevation Data (1:50,000)",2006,"<p>Natural Resorces Canada</p>
",Digital Elevation Model (.dem),Public,"<p>Canadian Digital Elevation Data (CDED) can be downloaded from <a href=""http://www.nrcan.gc.ca/earth-sciences/geography/topographic-information/free-data-geogratis/download-directory-documentation/17215"">Natural Resources Canada</a>.</p>
","<p>Digital elevation data consists of an ordered array of ground elevations sampled at regular intervals over each grid area.   Aside from estimating point elevations, digital elevation has a variety of applications, including terrain modeling, line of sight analysis, water flow and flooding analysis, and many others.</p>
<p>In this dataset, spacing between elevation values varies with latitude.  The values for East/West range from 0.75 to 3 arc seconds, or 8 to 17 metres. Spacing is always 0.75 arc seconds or about 23 metres for North/South.</p>
<p>The data are provided in separate tiles according to the Canadian National Topographic System (1:50,000) map boundaries. For example, the local area appears as four map sheets: 30M/4, 30M/5, 40P/1 and 40P/8, and each sheet is further divided into an Eastern and a Western tile.  Each tile contains 1201 elevation points x 1201 elevation points, for a total of 1,442,401 elevation points.  A lower resolution dataset (1:250,000) is also available from Geobase, but both datasets provide complete coverage of Canada.</p>
<p>Other Keywords: DEM, Digital Elevation Model</p>
","<p>Documentation for the Canadian Digital Elevation Data (CDED) can be viewed and downloaded from <a href=""http://www.nrcan.gc.ca/earth-sciences/geography/topographic-information/free-data-geogratis/download-directory-documentation/17215"">Natural Resources Canada</a>.</p>
<p>A Metadata file is also included with the download.</p>
","<p>Canadian Digital Elevation Data [computer file]. Ottawa, ON: Natural Resources Canada, 2006.</p>
<p>Use of the data is subject to the Open Government Licence – Canada. The License Agreement can be viewed in full at the following link: <a href=""http://open.canada.ca/en/open-government-licence-canada"">http://open.canada.ca/en/open-government-licence-canada</a></p>
",N/A,,Internet,Topography,Canada||Hamilton||Ontario,Raster||ASCII,sites/default/files/geospatial/CDED50k.jpg,CDED50k.jpg,Sample of CDED 50K,
5840,Canadian Soil Information Service (CanSIS),Various,"<p>Agriculture and Agri-Food Canada</p>
","Shapefile (.shp), dBase (.dbf) table, Esri Interchange File (.e00)",Public,"<p><a href=""http://sis.agr.gc.ca"">http://sis.agr.gc.ca</a></p>
","<p>The Canadian Soil Information Service (CanSIS) web site provides access to soil survey data for some provinces and territories in addition to related datasets:</p>
<ul>
<li>National Soil DataBase (NSDB) - soil, landscape, and climatic data for Canada</li>
        <ul>
                <li><a href=""http://sis.agr.gc.ca/cansis/nsdb/ecostrat/index.html"">National Ecological Framework</a> data - EcoZones, EcoRegions, and EcoDistricts</li>
                <li><a href=""http://sis.agr.gc.ca/cansis/nsdb/lpdb/index.html"">Soil Map of Canada / Land Potential DataBase (LPDB)</a> - data about soil, climate, physiography, land use, and crop yields</li>
                <li><a href=""http://sis.agr.gc.ca/cansis/nsdb/slc/index.html"">Soil Landscapes of Canada (SLC)</a> - major soil and landscape attributes</li>
        </ul>
<li><a href=""http://sis.agr.gc.ca/cansis/nsdb/dss/index.html"">Detailed Soil Surveys</a> (incomplete coverage - see <a href=""http://sis.agr.gc.ca/cansis/publications/surveys/index.html"">http://sis.agr.gc.ca/cansis/publications/surveys/index.html</a>).</li>
</ul>
","<p>An overview of each resource is available through the websites listed. A number of additional documents and resources, listed below, are also available through the CanSIS website.</p>
<ul>
<li><a href=""http://sis.agr.gc.ca/cansis/publications/manuals/index.html"">Canadian Soil Publications Archive - Manuals</a> (including taxonomy guides, soil survey and laboratory methods, glossary, etc.)</li>
<li><a href=""http://sis.agr.gc.ca/cansis/nsdb/lpdb/index.html"">Land Potential Data Base for Canada - Users' handbook</a></li>
<li><a href=""http://sis.agr.gc.ca/cansis/nsdb/ecostrat/1999report/index.html"">National Ecological Framework - Attribute Data Report</a></li>
<li><a href="""">Soil Landscapes of Canada - Dataset descriptions</a> (including soil name, soil component, landform definitions, and ecological framework tables</li>
","<p>National Soil DataBase [computer file]. Ottawa, ON: Agriculture and Agri-Food Canada, [year of dataset].</p>
",N/A,,Internet,Soils,Canada||Hamilton||Ontario,Vector||E00||Shapefile,sites/default/files/geospatial/CanSISscreenshot.jpg,CanSIS.jpg,CanSIS image,
5764,Canadian Wind Energy Atlas,2004,"<p>Environment and Climate Change Canada</p>
","MapInfo Interchange Format (.mif), MapInfo Data (.mid)",Public,"<p><a href=""http://www.windatlas.ca"">http://www.windatlas.ca</a></p>
","<p>The Canadian Wind Energy Atlas was created as a contribution to a project hosted by the Environment Canada RPN (Recherche en Prévision Numérique).  The purpose of the project was to determine the average wind energy potential across the country for the purposes of wind energy development.</p>
<p>The website has an interactive map which can be used to display Mean Wind Speed (m/s) and Mean Wind Energy (W/m<sup>2</sup>) at a height of 30, 50, or 80m.  Values are expressed as a mean of 43 years of observations, and are also available seasonally (e.g. mean of all winter values only).  The interactive map can also display basic geophysical layers (roughness length, topography, lakes and rivers, and land/water mask) and human geography layers (power lines, roads, and cities). The map can be exported to an image format (.jpg, e.g.)</p>
<p>Data are also available for download in two formats: MapInfo Interchange Format (MIF) and the proprietary RPN format.  MIF files can be converted to ESRI Shapefile format by using ArcCatalog.  Software is provided on the website for conversion of RPN format files.  Please note that the website requires a username and password to download files, and there is a 160MB/day download limit.</p>
","<p>The <a href=""http://www.windatlas.ca/"">Canadian Wind Energy Atlas website</a> contains a Q&A page, description of the methodology used, as well as other useful links.</p>
","<p><em>Canadian Wind Energy Atlas</em> [computer file]. Gatineau, QC: Environment Canada, 2004.</p>
",N/A,,Internet,Climate,Canada||Hamilton||Ontario,Interactive Map||Mid/Mif,sites/default/files/geospatial/windenergymap.JPG,windenergymap.JPG,Canadian Wind Energy Atlas,
