result - array,result - services - array,result - services - link,result - services - protocol,result - services - type,result - services - boundingbox - area,result - services - boundingbox - upperleft - Point - coordinates,result - services - boundingbox - lowerleft - Point - coordinates,result - services - boundingbox - upperright - Point - coordinates,result - services - boundingbox - lowerright - Point - coordinates,result - publish-date - date,result - publish-date - date-type,result - id,result - uri,result - date,result - index,result - title,result - producer,result - abstract,result - entitled,result - boundingbox - area,result - boundingbox - upperleft - Point - coordinates,result - boundingbox - lowerleft - Point - coordinates,result - boundingbox - upperright - Point - coordinates,result - boundingbox - lowerright - Point - coordinates,result - collections,result - notqueryable,result - fileIdentifier,result - notdownloadable,result - thumbnail,result - holdings,result - revision-date
TRUE,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_CanMapRL_Streets_RDS_ALL_PROV.zip,file,(vector){2005},,,,,,8/15/2003,publication,793898043,/NAP/DMTI_CanMapRL_Streets_RDS_ALL_PROV.xml,7/19/2016,1,Roads (RDS),DMTI Spatial Inc.,<p>The dataset contains all the roads in Canada including street names and addresses. This dateset is less comprehensive than DMTI's core routing dataset (RTE)</p>,TRUE,3630.457108,"-141.001449,82.514468","-141.001449,41.436108","-52.622626,82.514468","-52.622626,41.436108",DMTI,1,793898043,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2010_CanMapRL_Streets_RTE_ALL_PROV.png,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2004_CanMapRL_Streets_RDS_ALL_PROV.zip,file,(vector){2004},,,,,,8/15/2005,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_CanMapRL_Streets_RDS_ALL_PROV.zip,file,(vector){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OpenContent/OpenContent_Geogratis_2002_PermafrostInCanada/MapServer,http,Tiled map service (vector),,,,,,7/7/2002,publication,1250329824,/NAP/Geogratis_2002_PermafrostInCanada.xml,10/5/2011,2,"Canadian Permafrost Thickness, Geological Survey of Canada",Natural Resources Canada,<p>Observations on the depth to the base of permafrost across Canada (Geological Survey of Canada Project 870023) from geothermal and geophysical records. Working file contains confidential information.</p>,TRUE,3658.658498,"-141.004708,83.110626","-141.004708,41.708294","-52.636292,83.110626","-52.636292,41.708294",OpenContent,0,1250329824,0,http://images.scholarsportal.info/gis/thumbnails/OpenContent/OpenContent_Geogratis_2002_PermafrostInCanada.png,/zips/OpenContent/OpenContent_Geogratis_2002_PermafrostInCanada.zip,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2014_CanMapW_MNWTP_ALL_PROV/MapServer,http,Tiled map service (vector) {2014}<uri:/NAP/DMTI_2014_CanMapW_MNWTP_ALL_PROV.xml>,3626.375575,"-140.926122,82.849353","-140.926122,41.752372","-52.686658,82.849353","-52.686658,41.752372",5/2/2003,publication,799372970,/NAP/DMTI_CanMapW_MNWTP_ALL_PROV_series.xml,7/2/2015,3,Minor Water Points (MNWTP),DMTI Spatial Inc.,"<p>Intermittent Water Points represent hydrographic point feature such as a rock in water or shipwreck. These features are associated with minor water regions or water lines. Major Water Points are engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p>",TRUE,3626.375575,"-140.926122,82.849353","-140.926122,41.752372","-52.686658,82.849353","-52.686658,41.752372",DMTI,0,799372970,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MNWTP_ALL_PROV.png,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2013_CanMapW_MNWTP_ALL_PROV/MapServer,http,Tiled map service (vector) {2013}<uri:/NAP/DMTI_2013_CanMapW_MNWTP_ALL_PROV.xml>,3637.19444,"-140.926122,82.971961","-140.926122,41.752372","-52.686658,82.971961","-52.686658,41.752372",8/15/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2012_CanMapW_MNWTP_ALL_PROV/MapServer,http,Tiled map service (vector) {2012}<uri:/NAP/DMTI_2012_CanMapW_MNWTP_ALL_PROV.xml>,3637.19444,"-140.926122,82.971961","-140.926122,41.752372","-52.686658,82.971961","-52.686658,41.752372",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2011_CanMapW_MNWTP_ALL_PROV/MapServer,http,Tiled map service (vector) {2011}<uri:/NAP/DMTI_2011_CanMapW_MNWTP_ALL_PROV.xml>,3637.19444,"-140.926122,82.971961","-140.926122,41.752372","-52.686658,82.971961","-52.686658,41.752372",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2010_CanMapW_MNWTP_ALL_PROV/MapServer,http,Tiled map service (vector) {2010}<uri:/NAP/DMTI_2010_CanMapW_MNWTP_ALL_PROV.xml>,3637.19444,"-140.926122,82.971961","-140.926122,41.752372","-52.686658,82.971961","-52.686658,41.752372",,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2009_CanMapW_MNWTP_ALL_PROV.zip,file,(vector) {2009},,,,,,,,,,,,,,,,,,,,,,,,,,,
