Nid,Title,Year,Author,Format,Who can use this data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,To Delete,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,filepath,field_geospatial_image_alt,field_geospatial_image_title
5713,Hamilton Digital Orthophotos 2002,2002,"<p>City of Hamilton, Information Technology Services, GIS Services.</p>
",MrSID,McMaster Students / Staff / Faculty only,"<p>City of Hamilton Digital Orthophotos (2002) - <a href=""http://library.mcmaster.ca/sites/default/files/geospat-hamilton-ortho-index02.pdf"">Index</a></p>
","<p>Photos taken in the spring of 2002 cover the new City of Hamilton (formerly Regional Municipality of Hamilton-Wentworth).</p>
","<p>No metadata available</p>
","<p>City of Hamilton Digital Orthophotos [computer file]. Hamilton, Ontario: The City of Hamilton, 2002.</p>
",N/A,Delete,Library,Remote Sensing and Air Photos,Hamilton,MrSID,sites/default/files/geospatial/geospat-hamilton-mills-2002.jpg,geospat-hamilton-mills-2002.jpg,geospat-hamilton-mills-2002.jpg
5714,Hamilton Digital Orthophotos 2005,2005,"<p>City of Hamilton, Information Technology Services, GIS Services.</p>
",MrSID,McMaster Students / Staff / Faculty only,"<p>City of Hamilton Digital Orthophotos (2005) - <a href=""http://library.mcmaster.ca/maps/airphotos/2005_20cm.htm"">Index</a></p>
","<p>Digital colour orthophotos covering the City of Hamilton. Coverage shot in spring of 2005.</p>
<p>Two different resolutions available. 1 m resolution image is a single mosaic of the whole City. 20 cm resolution is three separate mosaics covering North, Central and South portions of the City. Index showing the file divisions appears at <a href=""http://library.mcmaster.ca/maps/airphotos/2005_20cm.htm"">http://library.mcmaster.ca/maps/airphotos/2005_20cm.htm</a></p>
","<p>No metadata available</p>
","<p>City of Hamilton Digital Orthophotos [computer file]. Hamilton, Ontario: The City of Hamilton, 2005.</p>
",N/A,Delete,Library,Remote Sensing and Air Photos,Hamilton,MrSID,sites/default/files/geospatial/geospat-hamortho05.jpg,geospat-hamortho05.jpg,Sample of 2005 orthophoto (Mills Library)
5716,London Orthophotos 2004,2004,"<p>City of London, Ontario. Environmental and Engineering Services Department. Geomatics Division.</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>Digital grayscale orthophotography coverage of the entire City of London flown in April 2004. The imagery is available as one complete mosaic.</p>
","<p>A very basic ""readme"" file is delivered with the dataset.</p>
","<p>City of London, Environmental and Engineering Services Dept., Geomatics Division. <i>London Digital Orthophotos 2004</i> [computer file]. London, Ontario: The City of London, 2004.</p>
",N/A,Delete,Library,Remote Sensing and Air Photos,Ontario,MrSID,sites/default/files/geospatial/London2004.jpg,London2004.jpg,London2004.jpg
5717,London Orthophotos 2005,2005,"<p>City of London, Ontario. Environmental and Engineering Services Department. Geomatics Division.</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>Digital grayscale orthophotography coverage of the entire City of London flown in April 2005. The imagery is available as one complete mosaic.</p>
","<p>A very basic ""readme"" file is delivered with the dataset.</p>
","<p>City of London, Environmental and Engineering Services Dept., Geomatics Division. <i>London Digital Orthophotos 2005</i> [computer file]. London, Ontario: The City of London, 2005.</p>
",N/A,Delete,Library,Remote Sensing and Air Photos,Ontario,MrSID,sites/default/files/geospatial/London2005.jpg,London2005.jpg,London2005.jpg
5718,London Orthophotos 2007,2007,"<p>City of London, Ontario. Environmental and Engineering Services Department. Geomatics Division.</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>Digital colour orthophotography coverage of the entire City of London flown April, 2007. The imagery is available as one complete mosaic.</p>
","<p>A very basic ""readme"" file is delivered with the dataset.</p>
","<p>City of London, Environmental and Engineering Services Dept., Geomatics Division. <i>London Digital Orthophotos 2007</i> [computer file]. London, Ontario: The City of London, 2007.</p>
",N/A,Delete,Library,Remote Sensing and Air Photos,Ontario,MrSID,sites/default/files/geospatial/London2007.jpg,London2007.jpg,London2007.jpg
5719,London Orthophotos 2008,2008,"<p>City of London, Ontario. Environmental and Engineering Services Department. Geomatics Division.</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>Digital colour orthophotography coverage of the entire City of London flown April, 2008. The imagery is available as one complete mosaic.</p>
","<p>A very basic ""readme"" file is delivered with the dataset.</p>
","<p>City of London, Environmental and Engineering Services Dept., Geomatics Division. <i>London Digital Orthophotos 2008</i> [computer file]. London, Ontario: The City of London, 2008.</p>
",N/A,Delete,Library,Remote Sensing and Air Photos,Ontario,MrSID,sites/default/files/geospatial/London2008.jpg,London2008.jpg,London2008.jpg
5726,CanMap Parks and Recreation,"Annual, from 2002","<p>DMTI Spatial Inc.</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,"<p>CanMap Parks and Recreation data from DMTI Spatial is available for download through Scholars GeoPortal at the following links:</p>
2015 and 2016 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3294319523"">Park and Sports Field - Region</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3388502363"">Park and Sports Field - Point</a></li>
</ul>
2002 - 2014 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3759988180"">Parks and Recreation - Regions</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1932815402"">Parks and Recreation - Lines</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1719274822"">Parks and Recreation - Points</a></li>
</ul>","<p>Attributes associated with this dataset: national, provincial, territorial, municipal, public and private level parks and recreation areas, sports and race tracks, swimming pools, golf courses and driving ranges.</p>
<p>Available to Canadian universities under <a href=""http://prod.library.utoronto.ca:8090/maplib/DMTI/"">DMTI Spatial SMART Consortium agreement </a>. Annual updates are received in October of each year.</p>
","<p>A User Manual and Data Dictionary in PDF format are available for each dataset through Scholars GeoPortal.</p>
","<p>Author. <i>Title</i> [format].  Edition.  Place of publication: Publisher, Date.</p>
<p>DMTI Spatial Inc. <em>CanMap Parks and Recreation</em>. [computer file]. v2011.3. Markham ON: DMTI Spatial Inc., 2011.</p>
","<p>CanMap Parks and Recreation data from DMTI Spatial is available for download through Scholars GeoPortal at the following links:</p>
2015 and 2016 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3294319523"">Park and Sports Field - Region</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3388502363"">Park and Sports Field - Point</a></li>
</ul>
2002 - 2014 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3759988180"">Parks and Recreation - Regions</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1932815402"">Parks and Recreation - Lines</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1719274822"">Parks and Recreation - Points</a></li>
</ul>",Delete,Library,Physical Environment,Canada||Hamilton||Ontario,Shapefile,sites/default/files/geospatial/CanMapParks.jpg,CanMapParks.jpg,CanMapParks.jpg
5727,CanMap Rail,"Annual, from 2002","<p>DMTI Spatial Inc.</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,"<p>CanMap Rail data from DMTI Spatial is available for download through Scholars GeoPortal at the following links:</p>
2015 and 2016 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=513873247"">Rail and Transit Line</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2734960544"">Transportation Stops (Point)</a></li>
</ul>
2002 - 2014 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2680653796&_add:true_nozoom:true"">CanMap Rail</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2499438351"">Transportation Stops (TRS)</a></li>
</ul>","<p>CanMap Rail provides a comprehensive description of Canada's railway network.  It contains all railway and transit lines, including abandoned lines.  It also contains all railway stations and transit stops, as well as bus stops for inter-regional bus transit systems.  Owner/operator and route type are included as attributes.  CanMap Rail is a feature of the larger DMTI products CanMap StreetFiles and CanMap RouteLogistics.  </p>
<p>Attributes associated with this data: GO Transit, OC Transpo Transitway, Toronto Transit Commission, Via Rail, railways and stations, abandoned railways, rapid transit, light rail transit, commuter railway, provincial boundary, bridges, tunnels</p>
<p>Available to Canadian universities under <a href=""http://prod.library.utoronto.ca:8090/maplib/DMTI/"">DMTI Spatial SMART Consortium agreement</a>.  The earliest version of this data available through McMaster University Library is September 30, 2002. Annual updates are received in October or November of every year, so a version is available for each year after 2002. </p>
","<p>A User Manual and Data Dictionary in PDF format are available for each dataset through Scholars GeoPortal.</p>
","<p>Author. <i>Title</i> [format].  Edition.  Place of publication: Publisher, Date.</p>
<p>Example:  DMTI Spatial Inc. <i>CanMap Rail</i> [computer file].  v2011.3. Markham ON: DMTI Spatial Inc., 2011.</p>
","<p>CanMap Rail data from DMTI Spatial is available for download through Scholars GeoPortal at the following links:</p>
2015 and 2016 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=513873247"">Rail and Transit Line</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2734960544"">Transportation Stops (Point)</a></li>
</ul>
2002 - 2014 datasets:
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2680653796&_add:true_nozoom:true"">CanMap Rail</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2499438351"">Transportation Stops (TRS)</a></li>
</ul>",Delete,Library,Human Environment||Transportation,Canada||Hamilton||Ontario,Shapefile,sites/default/files/geospatial/CanMapRail.jpg,CanMapRail.jpg,CanMapRail.jpg
5733,CanMap Water,"Annual, from 2002",<p>DMTI Spatial Inc.</p>,Shapefile (.shp),McMaster Students / Staff / Faculty only,"<p>Data can be downloaded via <a href=""http://geo1.scholarsportal.info/#r/search/_queries@=DMTI%20CanMap%20Water;&fields@=;&sort=relevance&limit=entitled"">Scholars GeoPortal</a>.</p>","<p>This file represents detailed coverage of water features across Canada. CanMap Water is developed from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data. Lakes, rivers, streams, ponds are included.</p>
<p>Attributes associated with this data: flooded area, irrigation canal, water obstacles, disappearing stream, slough.</p>
<p>Available to Canadian universities under <a class=""ext"" href=""http://prod.library.utoronto.ca:8090/maplib/DMTI/"">DMTI Spatial SMART Consortium agreement</a>.  The earliest version of this data available through McMaster University Library is 2002. Annual updates are received in October or November of every year, so a version is available for each year after 2002.</p>
","<p>User guide in PDF format supplied with files.</p>
","<p>Author. <i>Title</i> [format].  Edition.  Place of publication: Publisher, Date.</p>
<p>DMTI Spatial Inc. <em>CanMap Water</em>. [computer file]. v2011.3. Markham, Ontario: DMTI Spatial Inc., 2011.</p>
","<p>Several datasets are available at GeoPortal with a search for <a href=""http://geo1.scholarsportal.info/#r/search/_queries@=DMTI%20CanMap%20Water;&fields@=;&sort=relevance&limit=entitled"">""CanMap Water""</a>.</p>",Delete,Library,Water Resources,Canada||Hamilton||Ontario,Shapefile,sites/default/files/geospatial/CanMapWater.jpg,CanMapWater.jpg,CanMapWater.jpg
5741,Enhanced Points of Interest (EPOI),Annual from 2001 (no data for 2014),"<p>DMTI Spatial Inc.</p>
","Text, Shapefile (.shp)",McMaster Students / Staff / Faculty only,"<p>Available for download via <a href=""http://geo1.scholarsportal.info/#r/search/_queries@=%22EPOI%22;&fields@=;&sort=relevance&limit=entitled"">Scholars GeoPortal</a>.</p>","<p>This large dataset (the most recent contains over 400,000 points for Ontario alone) includes recreational, institutional and business points of interest.  The points are broadly divided into large categories such as accomodation, aerodromes, border crossings and customs, education, financial institutions, golf courses, health care, police services etc.  Each location is also given a Standard Industrial Classification code (or SIC code) which gives very specific information about the location's business (e.g. the types of crops grown or livestock kept on a farm, the type of ore extracted at a mine, the type of dairy product processed at a factory etc.).  From 2004 onwards, the points are also classified into intermediate categories called ""SIC Division"" and ""SIC Major Group"".  A complete list of the SIC codes is provided in the metadata.</p>
<p>For <a href=""http://geo.scholarsportal.info/#r/details/_uri@=1434556057"">2015 and 2016</a> the data has been divided into separate files available for individual download. The categories are:</p>
<ul>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1168301321"">Police services</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3785366179"">Ports</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=177244586"">Postal outlets</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3915221691"">Radio stations</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=4050146209"">Religious buildings</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=693347602"">Retail locations</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3198074902"">Securities and investments institutions</a></li>
<li><a href=""http://geo.scholarsportal.info/#r/details/_uri@=798218826"">Toll booths</a></li>
</ul>

<p>Older datasets only provide the data in ASCII text format. Instructions for importing the data into ArcMap are provided in the metadata.</p>","<p>Metadata is provided in PDF format with download.</p>
","<p><em>DMTI Enhanced Points of Interest (EPOI)</em> v2011.3. [computer file].  Markham, ON: DMTI Spatial Inc., 2011.</p>
","<p>Scholars GeoPortal - <a href=""http://geo2.scholarsportal.info/#r/search/_queries@=%22EPOI%22;&fields@=;&sort=relevance&limit=entitled"">Enhanced Points of Interest (EPOI)</a></p>",Delete,Library,Human Environment,Canada||Hamilton||Ontario,ASCII||Shapefile,sites/default/files/geospatial/HamiltonEPOI.jpg,HamiltonEPOI.jpg,HamiltonEPOI.jpg
