transportation,Transportation
environment,Physical Environment
boundaries,Boundaries
society,Human Environment
inlandWaters,Water Resources
economy,Human Environment
planningCadastre,Planning
biota,Physical Environment
geoscientificInformation,Geology
location,Location
utilitiesCommunication,Utilities
intelligenceMilitary,Indexes and Grids
imageryBaseMapsEarthCover,Remote Sensing and Air Photos
structure,Human Environment
health,Health
elevation,Topography
farming,Farming and Food Production
climatologyMeteorologyAtmosphere,Climate
historic,Historical
