Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,Projection,Datum,Entry Date,File Location,File Size
,"Unified Geologic Map of the Moon, 1:5M, 2020",2020,U. S. Geological Survey,"GeoTIFF, Shapefile",Public,"<p>U. S. Geological Survey - <a href=""https://astrogeology.usgs.gov/search/map/Moon/Geology/Unified_Geologic_Map_of_the_Moon_GIS"">Astropedia Lunar and Planetary Cartographic Catalog</a></p>","<p>A <i>""seamless, globally consistent, 1:5,000,000-scale geologic map derived from the six digitally renovated geologic maps"".</i> Consists of: unit contacts, geologic unit polygons, linear features, unit and feature nomenclature annotation, and shaded relief.</p>","<p>Metadata is available with download, and on the website.</p>","<p>USGS Astrogeology Science Center. <em>Unified Geologic Map of the Moon, 1:5M, 2020</em> [digital resource: vector and raster]. Reston, VA.: U. S. Geological Survey, 2020.</p>",N/A,Internet,Geology||Topography,World,Raster||geoTIFF||Vector||Shapefile,,,,,Moon 2000,,,,215MB
,London Hedges,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=40437149"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of hedges in the City of London, Ontario.</p>",,"<p>City of London. <em>London Hedges</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=40437149.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=40437149"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Physical Environment,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Hedges.png,,,40437149,,,,,,,
,London Industrial or Electrical Substation Complexes,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=69542293"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of industrial or electrical substation complexes in the City of London, Ontario.</p>",,"<p>City of London. <em>London Industrial or Electrical Substation Complexes</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=69542293.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=69542293"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Utilities,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_ElectricalSubstationComplexes.png,,,69542293,,,,,,,
,London Pits,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=37962027"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of pits for construction or excavation in the City of London, Ontario.</p>",,"<p>City of London. <em>London Pits</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=37962027.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=37962027"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Planning,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Pits.png,,,37962027,,,,,,,
,London Shoreline Segments,2009 - 2015,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=46733935"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of shoreline segments in the City of London, Ontario.</p>",,"<p>City of London. <em>London Shoreline Segments</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=46733935.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=46733935"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Planning,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_shorvslin.png,,,46733935,,,,,,,
,London Bridges,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=65760470"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of bridges in the City of London, Ontario.</p>",,"<p>City of London. <em>London Bridges</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=65760470.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=65760470"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Human Environment,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Bridges.png,,,65760470,,,,,,,
,London Towers,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=94644324"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of towers in the City of London, Ontario.</p>",,"<p>City of London. <em>London Towers</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=94644324.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=94644324"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Human Environment,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_TowerComplex.png,,,94644324,,,,,,,
,Kingston Road Segments,2021,City of Kingston,Various geospatial formats available.,Public,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1484798540"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of Kingston open data collection contains very detailed topographic and planning information clipped to the City of Kingston's municipal boundary.</p><p>This data set contains a representation of the centreline street network in the City of Kingston, Ontario.</p><p>This data can be used to identify roads and information about roads across the City. The layer includes naming, addressing, number of lanes, traffic flow, and road class where available.</p>",,"<p>City of Kingston. <em>Kingston Road Segments</em> [digital resource: vector]. City of Kingston, 2021. Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=1484798540.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1484798540"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/OpenContent/OpenContent_CityOfKingston_2021_road_segments.png,,,1484798540,,,,,,,
,London Buildings,2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=54791763"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of buildings in the City of London, Ontario.</p>",,"<p>City of London. <em>London Buildings</em> [digital resource: vector]. City of London, 2019. Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=54791763.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=54791763"">Access this resource</a> on Scholars Geoportal.</p>",Internet,,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Buildings.png,,,54791763,,,,,,,
,London Dams,2016 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=48243964"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of dams in the City of London, Ontario.</p><p><i>Note: Formerly part of the <b>London Water (Lines)</b> dataset.</i></p>",,"<p>City of London. <em>London Dams</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=48243964.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=48243964"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Water Resources,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Dams.png,,,48243964,,,,,,,
,London Trails,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=20350622"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of trails in the City of London, Ontario.</p>",,"<p>City of London. <em>London Trails</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=20350622.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=20350622"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Planning,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Trails.png,,,20350622,,,,,,,
