SGP_id,Title,Producer,Category,Place,Type,Abstract,Coverage (Years),layer_url,layer_thumb,Available Formats,Users with View Permissions
1335213247,Wooded Area,Ontario Ministry of Natural Resources,Physical Environment,Ontario,vector,"<p> Revision Note: Please note that this dataset has been revised and is available from the Land Information Ontario (LIO) Warehouse. </p> <p>Wooded Area polygons represent the boundaries of woodlands (forests, woodlots, hedgerows, and plantations) in Southern Ontario.</p><p> The woodland dataset is one of numerous products derived through the implementation of the SOLRIS project. The methodology used in SOLRIS Phase 1 involves updating the NRVIS wooded area (WOODAREA concrete class) data through the interpretation of remotely sensed data including orthophotography, Indian Remote Sensing (IRS) and colour infrared aerial photography.</p> <p>Wooded Area polygons represent the boundaries of woody vegetation (including shrubs) mapped to Ontario Base Mapping standards in Northern Ontario (EcoRegion 5E) and a revised standard to capture more definitive 'treed areas' in Southern Ontario (EcoRegions 6E and 7E). Trees and shrubs in this layer have a minimum of 2 meter height.</p><p>Supplementary tables can be used and are available for download from the additional documentation section.</p>",1976 - 2006,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1335213247"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_WOODAREA.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
3711742792,Major Road Casements (MRC),DMTI Spatial Inc.,Transportation,Canada,vector,"<p>This layer contains major road casements across Canada. Casements are buffers of all road segments containing street name and uniqueID of road buffered.</p><p><b>Note:</b> In 2012, there was a datum change from NAD83 to WGS84.</p>",2001 - 2014,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=3711742792"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Streets_MRC_ALL_PROV.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
1479740568,Fire Disturbance PT,Ontario Ministry of Natural Resources,Physical Environment,Ontario,vector,"<p>The Ministry of Natural Resources Fire Program records details about specific forest fires. This dataset contains the estimated starting point of a forest fire for which the perimeter was not mapped and for the fires that are less than 40 hectares in size. The fires represented in this LIO only data class are inside or outside the fire region and do not include prescribed burns. </p><p>Supplementary look-up table descriptions are available in the data description document, which is available for download from the additional documentation section.</p>",2003 - 2005,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1479740568"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_FIREDSPT.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
1346829427,Regional Municipality Boundaries (RMN),DMTI Spatial Inc.,Boundaries,Canada,vector,"<p>The Regional Municipalities layer is comprised of intermediate political administrative areas between the Province/Territories and Municipalities. DMTI Spatial Regional Municipalities correspond to Statistics Canada's 2001 Census Divisions (CD).</p><p><b>Note:</b> In 2012, there was a datum change from NAD83 to WGS84.</p>",2001 - 2014,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1346829427"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapRL_Canada_RMN.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
2565939622,Major Water Points (MJWTP),DMTI Spatial Inc.,Water Resources,Canada,vector,"<p>Major Water Points represent hydrographic point feature such as a rock in water or shipwreck. These features are always inside a major water region.</p> <p>Major Water Points is engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p><p><b>Note:</b> In 2012, there was a datum change from NAD83 to WGS84.</p>",2003 - 2014,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2565939622"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MJWTP_ALL_PROV.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
53317587,Gas Stations Point,DMTI Spatial Inc.,Human Environment,Canada,vector,"<p>This layer contains the point locations of facilities that sell gasoline, diesel fuel, and other lubricants for motor vehicles. </p><p> All locations are classified using the North America Standard Industry Classification System (NAICS) and Standard Industry Classification (SIC), for further analysis. Additional tables and supporting documentation are available in the Data Dictionary and User Manual.</p>",2015 - 2023,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=53317587"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2022_CMCS_GasStationsPoint.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
421809218,Peat Production Area,Ontario Ministry of Natural Resources,Planning,Ontario,vector,"<p>This data set is a polygon coverage that can be used to identify the location of a peat production area, which is an area designated as suitable for the extraction of peat. The boundary is determined by a Peat Extraction License or a survey of potential license.</p><p>Supplementary tables can be used and are available for download from the additional documentation section. Supplementary look-up table descriptions are available in the data description document, which is available for download from the additional documentation section.</p>",1997 - 2005,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=421809218"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_PEATPROD.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
98115398,Blocked Passage Barrier Point,DMTI Spatial Inc.,Transportation,Canada,vector,<p>This layer indicates the locations of physical barriers on a roads built to prevent/control further access. </p> <p>Supporting documentation is available in the Data Dictionary and User Manual.</p>,2015 - 2023,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=98115398"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2022_CMCS_BlockedPassageBarrierPoint.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
982758561,Federal Protected Area,Ontario Ministry of Natural Resources,Planning,Ontario,vector,"<p>This data set can be used to identify areas protected by the Federal government for natural or cultural reasons. Protected areas include National Parks, National Marine Conservation Areas, Heritage canals, National Wildlife Areas or other Federal Protected areas.</p><p>Supplementary tables can be used and are available for download from the additional documentation section. This layer is part of what was known as the OMNR Fundamental Dataset.</p>",2008,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=982758561"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/OGDE/OGDE_FEDPAREA.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
1637611624,Mississauga Zoning,"Transportation and Works Department, City of Mississauga",Planning,Ontario,vector,"<p>City of Mississauga digital mapping data contains very detailed topographic and planning information clipped to the City of Mississauga municipal boundary based on a scale of 1:2,000.</p><p>This data set contains locations categorized by Zoning By-Law in the City of Mississauga, Ontario. </p>",2016 - 2020,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=1637611624"">Access this resource</a> on Scholars Geoportal.</p>",http://images.scholarsportal.info/gis/thumbnails/CityOfMississauga/CityOfMississauga_2020_Zoning.png,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.
